name,optimalK,k,millis,verified
biology-n_13-m_39-p_0.9-4,4,4,0,true
biology-n_13-m_51-p_0.5-22,4,4,0,true
biology-n_13-m_51-p_0.75-22,3,3,0,true
biology-n_13-m_51-p_0.9-22,3,3,0,true
biology-n_16-m_79-p_0.5-3,6,6,8,true
biology-n_16-m_79-p_0.75-3,6,6,3,true
biology-n_16-m_79-p_0.9-3,4,4,1,true
biology-n_17-m_89-p_0.5-10,6,6,8,true
biology-n_17-m_89-p_0.75-10,6,6,35,true
biology-n_17-m_89-p_0.9-10,4,4,1,true
biology-n_19-m_99-p_0.5-20,7,7,53,true
biology-n_19-m_99-p_0.75-20,6,6,19,true
biology-n_19-m_99-p_0.9-20,3,3,0,true
biology-n_20-m_125-p_0.5-24,8,8,549,true
biology-n_20-m_125-p_0.5-7,9,9,1615,true
biology-n_20-m_125-p_0.75-24,9,9,701,true
biology-n_20-m_125-p_0.75-7,5,5,3,true
biology-n_20-m_125-p_0.9-24,3,3,1,true
biology-n_20-m_125-p_0.9-7,4,4,3,true
biology-n_22-m_76-p_0.5-9,4,4,1,true
biology-n_22-m_76-p_0.75-9,4,4,1,true
biology-n_22-m_76-p_0.9-9,3,3,0,true
biology-n_23-m_166-p_0.5-17,12,12,49617,true
biology-n_23-m_166-p_0.75-17,10,10,3827,true
biology-n_23-m_166-p_0.9-17,6,6,17,true
biology-n_25-m_231-p_0.5-6,13,0,180000,false
biology-n_25-m_231-p_0.75-6,13,0,180000,false
biology-n_25-m_231-p_0.9-6,8,8,806,true
biology-n_28-m_163-p_0.5-11,10,10,4574,true
biology-n_28-m_163-p_0.75-11,8,8,695,true
biology-n_28-m_163-p_0.9-11,5,5,1,true
biology-n_28-m_249-p_0.5-8,15,0,180000,false
biology-n_28-m_249-p_0.75-8,13,0,180000,false
biology-n_28-m_249-p_0.9-8,6,6,21,true
biology-n_29-m_153-p_0.5-21,11,11,29584,true
biology-n_29-m_153-p_0.75-21,11,11,21489,true
biology-n_29-m_153-p_0.9-21,5,5,23,true
biology-n_30-m_287-p_0.5-5,15,0,180000,false
biology-n_30-m_287-p_0.75-5,12,0,180000,false
biology-n_30-m_287-p_0.9-5,10,10,113946,true
biology-n_35-m_315-p_0.5-18,17,0,180000,false
biology-n_35-m_315-p_0.75-18,15,0,180000,false
biology-n_35-m_315-p_0.9-18,10,10,31997,true
biology-n_36-m_219-p_0.5-12,17,17,136914,true
biology-n_36-m_219-p_0.75-12,14,14,19840,true
biology-n_36-m_219-p_0.9-12,9,9,4,true
biology-n_42-m_297-p_0.5-23,21,0,180000,false
biology-n_42-m_297-p_0.75-23,19,0,180000,false
biology-n_42-m_297-p_0.9-23,13,13,45563,true
biology-n_45-m_326-p_0.5-16,21,21,150287,true
biology-n_45-m_326-p_0.75-16,18,0,180000,false
biology-n_45-m_326-p_0.9-16,14,14,195,true
biology-n_49-m_689-p_0.5-14,29,0,180000,false
biology-n_49-m_689-p_0.75-14,26,0,180000,false
biology-n_49-m_689-p_0.9-14,19,0,180000,false
biology-n_56-m_526-p_0.5-2,29,0,180000,false
biology-n_56-m_526-p_0.75-2,24,0,180000,false
biology-n_56-m_526-p_0.9-2,17,0,180000,false
biology-n_6-m_7-p_0.5-13,0,0,0,true
biology-n_6-m_7-p_0.75-13,0,0,0,true
biology-n_6-m_7-p_0.9-13,0,0,0,true
biology-n_9-m_23-p_0.5-1,2,2,0,true
biology-n_9-m_23-p_0.75-1,2,2,0,true
biology-n_9-m_23-p_0.9-1,1,1,0,true
GD-n_101-m_190.mtx,0,0,0,true
GD-n_105-m_149.mtx,20,20,5,true
GD-n_111-m_193.mtx,0,0,0,true
GD-n_112-m_168.mtx,0,0,0,true
GD-n_121-m_207.mtx,43,8,180000,false
GD-n_18-m_37.mtx,8,8,2,true
GD-n_180-m_229.mtx,2,2,0,true
GD-n_23-m_87.mtx,9,9,8,true
GD-n_36-m_57.mtx,5,5,14,true
GD-n_38-m_50.mtx,2,2,0,true
GD-n_47-m_132.mtx,0,0,0,true
GD-n_62-m_287.mtx,38,0,180000,false
GD-n_65-m_125.mtx,0,0,0,true
GD-n_73-m_96.mtx,2,1,0,false
GD-n_80-m_232.mtx,20,5,180000,false
GD-n_84-m_196.mtx,0,0,0,true
maayan_foodweb-n_183-m_2476,11,11,6,true
moreno_bison-n_26-m_314,16,16,8806,true
moreno_cattle-n_28-m_217,8,8,85,true
moreno_hens-n_32-m_496,11,11,28508,true
moreno_innovation-n_241-m_1098,79,0,180000,false
moreno_mac-n_62-m_1187,14,1,180000,false
moreno_rhesus-m_16-m_111,10,10,15,true
moreno_sheep-n_28-m_250,8,8,36,true
polbooks-n_105-m_441.mtx,0,0,0,true
Tina_AskCal-n_11-m_29.mtx,3,3,0,true
